Sentence 1,Sentence 2
They were trying to be happy by accumulating possessions.,Getting more citations gives the graduate student hope about the impact of their academic work. 
Waves crashed against the rock. ,Suddenly she heard music. 
Waves crashed against the rock. ,The disoriented bird flew into the tree. 
Waves crashed against the rock. ,The corporation threw money into the problem. 
Waves crashed against the rock. ,He knocked the nail into the wall with a hammer. 
Waves crashed against the rock. ,Walking into the library she felt flooded with the knowledge of the countless books around her.  
You can't pour from an empty cup.,A falling tree cannot provide shade.
You can't pour from an empty cup.,An unlit candle can't be a source of light
You can't pour from an empty cup.,You can't write from an inkless pen.
You can't pour from an empty cup.,You can't drive a car with no fuel.
You can't pour from an empty cup.,one can't eat from a broken plate.
The father told the son that it was his way or the highway when the son came back home drunk.,The management made it clear that the employees had to be on board with the new policies or they would be let go.
The father told the son that it was his way or the highway when the son came back home drunk.,"The wife told the husband that since she is in charge of the kitchen, the family will eat what she makes or go hungry."
The father told the son that it was his way or the highway when the son came back home drunk.,The technical lead informed the team that they have to follow his ideas for the project to be completed without question or risk failure.
The father told the son that it was his way or the highway when the son came back home drunk.,I told my wife I will compromise on most of the things but on holidays I can do whatever I want.
The father told the son that it was his way or the highway when the son came back home drunk.,"It's the boss's way or the highway. If the workers cannot work for 20 hours a week, they can quit."
"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.",I have decided to see the project through and I will do anything to get the work done.
"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.","After the team’s defeat last season, they have decided to give it their all to win the title this season."
"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.","`We probably should have stopped at that point,' Margaret says, `but we had already invested so much, and as they say, in for a penny, in for a pound.'"
"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.",John burned the midnight oil nights after nights to get where he is today. He sacrificed and put in all the hard work needed.
"In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished.",The director completed the film even without a salary and did everything in his power to get the film released.
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.,The life of royals looks glamorous from afar but it is not as happy and fun as it looks.
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like."
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.
I know that Christie is a beautiful girl but don't forget all that glitters is not gold.,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.
"The drawing shows me at one glance, what a book can show me in many pages",I can just watch the adaptation instead of reading the 5 massive books the adaptation was based on.
"The drawing shows me at one glance, what a book can show me in many pages",Using a cigarette pack now contains a picture of diseased lungs is more effective than just the statutory warning message.
"The drawing shows me at one glance, what a book can show me in many pages",The manager asked the team to add more graphics for the presentation because it is easier to convey a lot through pictures.
"The drawing shows me at one glance, what a book can show me in many pages",It is better to use a map with directions than reading the instructions on how to arrive at the event.
"The drawing shows me at one glance, what a book can show me in many pages",Mary prefered to learn from the diagrams of the processes than from the notes describing them as they gave her a better idea.
"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.","That dress wasn't exactly what I would have picked for myself, but, hey, it was free, and I'm broke right now."
"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.","I asked Joe to lend me his bicycle, and he sent me this old, rusty one which I had to use as I had no other option."
"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.",I wanted to go out for dinner but we had no money so had to eat the left-over rice from last night. 
"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.",Mary wanted a big dog house for the dogs but Peter couldn't afford to build her one so she made one from the carboard boxes.
"I would have preferred a house of my own rather than sharing, but beggars can't be choosers, I suppose.","I would have preferred a bed, but beggars can’t be choosers so I slept on the sofa in the living room."
"You may not like your job, but don't quit merely on the hope of finding a better one.","He left his partner in hopes of finding his true love, only to realize that he already had it before."
"You may not like your job, but don't quit merely on the hope of finding a better one.","Better to eat the sweets we have as we know they taste good, than to wait for the new ones by the baker that are supposed to be better."
"You may not like your job, but don't quit merely on the hope of finding a better one.",I will use my old pan for cooking rather than experiment with the new utensil with fancy features.
"You may not like your job, but don't quit merely on the hope of finding a better one.",Lets just light the wood to keep us warm than to wait for the weather to warm up.
"You may not like your job, but don't quit merely on the hope of finding a better one.",Its better to water the garden using the fountain than to hope for rain to do it. 
"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","To avoid burning your hands, use oven mitts when removing the cake, as it will be hot unlike how it is now. "
"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","It is not that cold today, but I'd still go by car as I can't afford to get sick."
"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","Don't be greedy, just take whatever they offer you as if you negotiate too much they might take the offer back."
"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.","Make sure the movie is funny, as the critics will rate it poorly if they don't laugh in the first 5 minutes."
"Make sure you take an umbrella – I know it's sunny now, but better safe than sorry.",Keep a jug full of water near the table in case you get thirsty at night as you won't be able to get it yourself because of your injured foot.
"As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.","Had she had brought the chicken for the birthday party as planned, we wouldn't have got the chance to have the delicious pasta she made."
"As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.",It is good that you didn't get to go to the party as I heard the neighbors called police and everyone got in trouble.
"As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.",But if you look at the bright side you got to learn so much from the experience.
"As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.","Even though we lost everything in the fire, I am grateful that we have each other."
"As they say, every cloud has a silver lining. If we hadn't missed the plane, we would never have met you.",The painter did not have the yellow color with him so had to paint with red making his painting famous for its unconventional choice.
A journey of a thousand miles begins with a single step.,We all begin our lives as a baby and slowly learn and grow.
A journey of a thousand miles begins with a single step.,"By writing simple code first, one can master the art of coding complex algorithms."
A journey of a thousand miles begins with a single step.,Her fitness journey began the day she set foot in the gym. She never looked back and now is a world class athelete.
A journey of a thousand miles begins with a single step.,The process of quitting smoking starts by going to the doctor.
A journey of a thousand miles begins with a single step.,Being persistent is all someone needs to learn how to take a stand and make firm decisions.
People work their hardest to attain something only when it is necessary for them.,As my project partner was sick I had to finish the entire assignment on my own by working day and night.
People work their hardest to attain something only when it is necessary for them.,I worked the whole week non stop because I had 5 deadlines and I couldn't miss any of them.
People work their hardest to attain something only when it is necessary for them.,Sally had to gather the strength to be the pillar of support for her parents when her only sibling passed away.
People work their hardest to attain something only when it is necessary for them.,David had to setup the entire system from scratch when the manager pressured him to do so for good reviews.
People work their hardest to attain something only when it is necessary for them.,Megan worked twice as hard and revised her basics when she was told to mentor two new members of the team.
It is not acceptable to do a bad thing just because someone else has done it.,It is not right to use the pen for gossip and rumors just because other media reportors are doing so.
It is not acceptable to do a bad thing just because someone else has done it.,Just because your father scolded you when he was angry doesn't mean you should do it too.
It is not acceptable to do a bad thing just because someone else has done it.,Your friend going to the spa instead of doing her homework doesn't mean you can do it too.
It is not acceptable to do a bad thing just because someone else has done it.,Sally spent the weekend relaxing following her sister's example. But it was not right as she had a lot of work to do.
It is not acceptable to do a bad thing just because someone else has done it.,Mary should not have started to sleep late at night because her favorite writer used to stay up late.
"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.",I love to talk to people who know about computers because I enjoy learning about computers.
"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.","Hey, Mom, I want to visit my grandmother’s house. I want to play with kids there as I am a kid too."
"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.",The lawyers who attended the business seminar talked amongst themselves.
"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.",The team is divided into people from the same region who scrimmage against each other. 
"Every evening, many drinkers get together in a bar near our home. You know, birds of a feather flock together.",All the people who spoke the same language were socializing together.
"It was a fantastic vacation, but all good things come to an end.","Sachin is said to be the best cricketer in the world, but like every other player, he had to retire."
"It was a fantastic vacation, but all good things come to an end.",The president served his term well and everything ran smoothly. But every good president has to leave at some point to make way for others.
"It was a fantastic vacation, but all good things come to an end.",The Bhagavat Geeta talks about how the elderly should pass responsibilities to the younger generation and prepare for the last phase of life with rest and less needs. This requires giving up the power of control and detaching from worldly things.
"It was a fantastic vacation, but all good things come to an end.",I wish the TV show never ended. It was so good but unfortunately the writers thought to end it at a good point like every other great series.
"It was a fantastic vacation, but all good things come to an end.",Good times fly so quickly. Like remember when we were carefree and happy as kids?
"She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.","He never told her about his feelings but everytime he met her, he was caring towards her."
"She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.",She posted a lot about her friendship with Mary on Instagram. But in reality they hardly had any bond as they were constantly on their phones when together.
"She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.","He spoke about his guitar skills poorly, but when he played, his hard work showed through the music he produced."
"She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.",Garry talked about how easily he managed the work stress. But his constant need of smoking told a different story.
"She never bragged about her grades but secured the second position in the board exams. Truly, actions speak louder than words.",Peter's parents said they were not good parents at all but they were always ready to spend quality time with their children showing they were really good parents.
"My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.","With no homework to do, I spent the entire afternoon coming up with ways to annoy my brother."
"My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.","After getting fired and having nothing else to do, Kate spent her days imagining schemes to get the boss fired."
"My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.",Ron comes up with detailed and complex pranks because he is not given any responsibilities towards anything. 
"My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.","Since he had nothing else to do during the break, he kept obsessing over his previous girlfriend."
"My daughter creates problems for my mom in the afternoon if she has nothing else to do. After all, an idle brain is the devil’s workshop.",The students created a mess in the class when there was no teacher to monitor.
Don’t judge people based on appearances alone; appearances can be deceptive.,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire."
Don’t judge people based on appearances alone; appearances can be deceptive.,"Lexi looks like an innocent and clueless person, but she is one of the wisest people I have ever met."
Don’t judge people based on appearances alone; appearances can be deceptive.,"Claire always thought that Max was unkind and rude because of his choice of clothing. But once she learned how giving and sensitive he was, she was surprised."
Don’t judge people based on appearances alone; appearances can be deceptive.,"Jane may look like she doesn't understand you, but she's really extremely bright."
Don’t judge people based on appearances alone; appearances can be deceptive.,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake."
"Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.",I think it’s better to compromise earlier instead of disputing later with your neighbour.
"Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.",Resolving small issues in relationships immediately may prevent bigger troubles down the road.
"Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.","If you had come earlier with your computer, it would have been possible to fix the malfunction. But now, you may need to buy a new one."
"Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.",You better bring your bike to the shop while it’s still running.
"Don’t ignore the sudden malfunctioning of your car, just go to the garage. A stitch in time saves nine.","It would have been okay if you had discussed the problem right then and there. Now, its too late and a lot of work is required to rectify this."
"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.",How can you expect to get full marks if you didn't study for the test at all?
"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.","Fred built an immense fortune by swindling others, but he lost it all when someone swindled him."
"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.","He spent years trying to avoid paying taxes, and now he's facing nearly 10 years in prison for it."
"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.",She has been talking trash about us all week to everyone. So I don't feel sorry for her now when her secrets are out in the open.
"If you don’t go to sleep early, you will wake up late. As you sow, so shall you reap.","Everything you do, everything you say, every choice you make, sooner or later comes back around."
"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.
"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.
"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.
"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine."
"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.",She thought her neighbor's home was more attractive than her own when she turned to look at it. But she had no idea that it was more difficult to keep up.
"I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.","She thinks he is the most attractive man in the world, even though to others he appears unremarkable."
"I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.",The oldest laptop in the office is Lexi's. But she really enjoys using it.
"I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.","Although many people dislike the color combination of orange and green, I believe it to be one of the best."
"I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.","Many people fail to understand the beauty of mathematics. But to me, it is the most meaningful subject."
"I don’t really like the colour of your car, but then, beauty lies in the eyes of the beholder.","Although he isn't my favorite singer, my brother absolutely adores him."
"we have been waiting for you for 3 hours, but okay, it’s better late than never.","Even though it took me two weeks, I at least sent the letter."
"we have been waiting for you for 3 hours, but okay, it’s better late than never.",A friend of mine who had failed the 12th grade for the previous five years finally succeeded.
"we have been waiting for you for 3 hours, but okay, it’s better late than never.","I took three years instead of one to finish the training program, but at least I have the credential now."
"we have been waiting for you for 3 hours, but okay, it’s better late than never.",Clark took 10 years to propose to Cece. We all had lost hope but finally he came through.
"we have been waiting for you for 3 hours, but okay, it’s better late than never.","Even though the mistake was obvious to her a week after the incident, she finally apologized and confessed two years later."
"I had a party to attend, but I still chose to stay home because my grandmother was sick. As they say, ""blood is thicker than water.""","My brother wanted to play with me, so I decided to stay with him instead of going out with friends."
"I had a party to attend, but I still chose to stay home because my grandmother was sick. As they say, ""blood is thicker than water.""",I spent the weekend helping my mother instead of going out with friends because she needed my assistance with her work.
"I had a party to attend, but I still chose to stay home because my grandmother was sick. As they say, ""blood is thicker than water.""","Because Kevin was her brother, she chose to vote for him over the more deserving candidate."
"I had a party to attend, but I still chose to stay home because my grandmother was sick. As they say, ""blood is thicker than water.""","Grandmother used to advise families to stick together during trying times, regardless of who is right or wrong."
"I had a party to attend, but I still chose to stay home because my grandmother was sick. As they say, ""blood is thicker than water.""","Lexi decided to be there for her sister when she was unwell, instead of going to a friend's wedding."
"Don’t invest all your money in the stock market, you should never put all your eggs in one basket.",It would be better if you applied to several companies instead of just one. 
"Don’t invest all your money in the stock market, you should never put all your eggs in one basket.","He was depending heavily on the success of his venture, but when it failed, he was ruined. He realized that he should have backup plans."
"Don’t invest all your money in the stock market, you should never put all your eggs in one basket.",It is important to keep learning new skills and not depend on one skill for your career. As new technology keeps coming up and current skills might be useless in the future.
"Don’t invest all your money in the stock market, you should never put all your eggs in one basket.","Keep your options open, do not confirm your major yet. Explore a few subjects this semester, and then choose the best one for yourself."
"Don’t invest all your money in the stock market, you should never put all your eggs in one basket.",Having different social groups is a good idea so that you can enjoy all the things you like with different kinds of people.
We should go early to the boutique on the day of their sale to get the best stuff. The early bird catches the worm!,We should submit the courses we want to register as early as possible so that we can get a seat.
We should go early to the boutique on the day of their sale to get the best stuff. The early bird catches the worm!,"When the site was just discovered and undeveloped, Larry was able to purchase the home for a low price. The price has risen to the point where even Will cannot afford it."
We should go early to the boutique on the day of their sale to get the best stuff. The early bird catches the worm!,"As only the worst eggs remain at the end, we should arrive at the farmers market early and purchase the best batch."
We should go early to the boutique on the day of their sale to get the best stuff. The early bird catches the worm!,"You must go immediately if you want to meet with the Senate. Otherwise, you'll struggle due to the traffic."
We should go early to the boutique on the day of their sale to get the best stuff. The early bird catches the worm!,"Between six and eight in the morning is when most of the museum visitors arrive. So, you should come one hour before then to avoid the crowd."
"College life is the best time of your life, enjoy it while it lasts.","You wouldn't have these options once you move across the country, so work hard while you are here."
"College life is the best time of your life, enjoy it while it lasts.","When the season changes, we won't have access to such delicious mangoes. So, devour them."
"College life is the best time of your life, enjoy it while it lasts.",Enjoy the honeymoon period of your marriage as much as you can before it passes.
"College life is the best time of your life, enjoy it while it lasts.",Don't consider work or stress when on vacation. Have fun; you'll only be gone for a week.
"College life is the best time of your life, enjoy it while it lasts.",Be thankful for the sunshine this summer because it only appears briefly during the winter.
"Don’t lie to land a job, remember that honesty is the best policy.",Working honestly and completely helps you stay out of problems in the long run.
"Don’t lie to land a job, remember that honesty is the best policy.","Politicians frequently tell lies, which gets them into problems. They could win election after election if they would just be sincere about their aims."
"Don’t lie to land a job, remember that honesty is the best policy.","Jane advised a worried Jill that she would feel better after owning up to the mistake."
"Don’t lie to land a job, remember that honesty is the best policy.","Liam lied to get into the school; Lary did not. Liam had a difficult time trying to hide the deception as a result. But unlike Liam, Lary did not have to worry about anything else, so he had a terrific time."
"Don’t lie to land a job, remember that honesty is the best policy.","You should tell your mother the truth about the vase, as it would relieve you of the stress."
"Don’t rush through your assignment, remember haste makes waste.",Larry always starts the work without reading the requirements and tries to finish it early as well. This leads to others having to fix his work.
"Don’t rush through your assignment, remember haste makes waste.","Kim checked the papers in a rush so that she can have more free time. But, now she needs to redo them as half of the class complained."
"Don’t rush through your assignment, remember haste makes waste.",The presentation was such a mess! The presenters tried to convey a lot of information in such a short time that there was no clarity.
"Don’t rush through your assignment, remember haste makes waste.","These files require a throrough look, don't skim through them quickly."
"Don’t rush through your assignment, remember haste makes waste.",It's never a good idea to rush through things. Remember to talk a slowly so that others can understand.
"Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.",There is no point in regretting your approach after you've had the interview. Move on to the next one.
"Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.","Larry was upset even after months of breaking up with Samantha. So, Mary, his sister finally told him that there is no point in dwelling over it since Samantha has moved on."
"Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.","When Juli's favorite tree was down, her father created a painting of it and said there was nothing else they could do."
"Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.","I know you didn't mean to break my phone, so please stop feeling so guilty about it."
"Walter failed his exam, but his father only responded, ""Son, don't cry over spilt milk,"" when he arrived.","We missed the bus, but it serves no use to be angry about it right now, so let's walk."
"I can see that you are beside yourself with joy at being selected for the job, congratulations.",Rory could see the happiness on her mother's face when her brother called after ages.
"I can see that you are beside yourself with joy at being selected for the job, congratulations.",The teacher was overjoyed that he had finally succeeded in explaining the complex topic for the students.
"I can see that you are beside yourself with joy at being selected for the job, congratulations.",Samantha was more than happy when she realised David had kept her trust by not going to the event.
"I can see that you are beside yourself with joy at being selected for the job, congratulations.",Congratulations that your kid just graduated middle schoool! You must be filled with pride and joy.
"I can see that you are beside yourself with joy at being selected for the job, congratulations.",The incharge was overjoyed to see that the floor had finally been cleaned properly by the new hire and was no longer slippery.
"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.","The savvy politician had a secret plan that could make him win. At the last moment, he revealed a scandalous secret about his opponent."
"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.","The opponents are ignorant of my greatest asset, which is my stamina. The other runners have no chance at all!"
"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.",I've heard that the defense lawyer has a fresh eyewitness who was previously unknown.
"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.",They think they’ve won the contract but we’ve still got a couple of ideas to win it back.
"Brian kept quiet at the board meeting, who knew he had an Ace hidden up his sleeve the whole time.",She cannot be dismissed because she is aware of the boss's shady business dealings.
"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.",Sandy is the only one who doesn't show up to the dance class and one of us is always without a partner because of it.
"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.",Jim is the only one of us who has engaged in any sort of criminal activity. Only Jim has ever spent time in jail when he was younger.
"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.","Everyone likes me because I'm so quiet and obedient. The same cannot be said for my wild cousin Nathan, who always lands himself in trouble."
"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.","The A team is the best one as it has the best players except Ron, who often negates the others' efforts."
"They don’t talk about Olive anymore, turns out he was the Black sheep of the family, he married someone else while he was still engaged to his fiancé.","All the songs on her album are amazing, but the last one is the one that ruins the vibe."
"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker.",I am determined to cook the Thanksgiving dinner from scratch this time no matter how difficult it is. 
"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker.",Harry prepared tirelessly for the final race and put in each and every ounce of energy he had into the training.
"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker.",Sally was adamant and stubborn about her religious beliefs and went through with the ceremony with full conviction.
"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker.",I was completely against nationalization. I resisted it wholeheartedly even though I became quite unpopular in the process.
"I have set my mind to go through the spreadsheets by Monday and I am working for it Hook, line and sinker.",Larry was so attached to the idea of working for Frank that no other employer could convince him otherwise.
I hold it against him for not treating me with respect. ,I am mad at Kim for not being there for me at my wedding.
I hold it against him for not treating me with respect.,I cannot forgive Nick for how he insulted me that day at the party.
I hold it against him for not treating me with respect.,Sam decided not to engage with Peter in a friendly manner anymore after he made fun of her about her insecurities.
I hold it against him for not treating me with respect.,Karen is upset with Sandy for not telling her about her plans for the summer.
I hold it against him for not treating me with respect.,Mary stopped talking to Amy because of the way she spoke to her last time.
"Lester made the dance team by the skin of his teeth since the audition was about to be closed.","While people believed it was impossible to escape from the secret police, Peter somehow managed to do so successfully, albeit a bit close for comfort. "
"Lester made the dance team by the skin of his teeth since the audition was about to be closed.",The group managed to finish the project just in time and submitted the report two minutes before the deadline.
"Lester made the dance team by the skin of his teeth since the audition was about to be closed.",He made the final cut to the university just by a small margin.
"Lester made the dance team by the skin of his teeth since the audition was about to be closed.",He slipped at the edge of the cliff but managed to hold on to the rock and was saved just in time.
"Lester made the dance team by the skin of his teeth since the audition was about to be closed.",Phill won the game but the opponent was just as good and also close to victory.
My pet dog is down for the count after playing the whole day with the frisbee.,Their company is so debt-ridden due to poor management that I think it's safe to say they're about to go bankrupt.
My pet dog is down for the count after playing the whole day with the frisbee.,"On his last birthday, Mike's friend gave him so much to drink that passed out before midnight."
My pet dog is down for the count after playing the whole day with the frisbee.,She got very sick when the season changed so she will be doing nothing but resting during the weekend.
My pet dog is down for the count after playing the whole day with the frisbee.,"Since they all did not sleep much the last week due to deadlines, they have been sleeping for more than ten hours a day these days."
My pet dog is down for the count after playing the whole day with the frisbee.,Monica cooked so much food last weekend in the restaurant that she had to take a leave to rest on Monday.
"Listen, losing weight is easier said than done, many people lack commitment.",It looks easy but it is very hard to drive a car in this traffic. Only experienced drivers can navigate this chaos.
"Listen, losing weight is easier said than done, many people lack commitment.","It takes a lot of effort to write a novel, so do not think writers do nothing worthy."
