Index,Sentence,Options,CorrectIndex,Label
49,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","35,218,118,16",16,D
50,"The journalist thought the life of the famous actress was extraordinary, only to realize later that it was not what it looks like.","74,85,109,17",17,D
51,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"0,295,229,134",0,A
52,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"36,1,106,304",1,B
53,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"108,2,140,75",2,B
54,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"183,4,289,327",4,B
55,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"30,5,240,160",5,B
56,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"206,6,264,218",6,B
57,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"120,7,57,247",7,B
58,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"8,82,72,21",8,A
59,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"274,229,9,112",9,C
60,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"278,28,25,10",10,D
61,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"235,170,193,11",11,D
62,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"73,12,78,159",12,B
63,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"13,290,33,221",13,A
64,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"14,178,235,80",14,A
65,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"15,43,195,310",15,A
66,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"62,41,16,34",16,C
67,The charming so-called CEO later proved to be the wrong choice to make a deal with. Turns out his promises were only empty words.,"93,228,17,317",17,C
68,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"0,206,224,244",0,A
69,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"220,23,107,1",1,D
70,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"288,238,2,253",2,C
71,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"52,191,294,3",3,D
72,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"192,264,74,5",5,D
73,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"263,252,314,6",6,D
74,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"7,174,21,142",7,A
75,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"125,223,36,8",8,D
76,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"9,164,23,161",9,A
77,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"162,252,10,305",10,C
78,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"96,80,11,108",11,C
79,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"12,329,243,99",12,A
80,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"216,13,99,63",13,B
81,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"180,144,179,14",14,D
82,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"200,300,23,15",15,D
83,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"16,146,284,233",16,A
84,Kevin was worshipped by the new recruits to be the best player in the game. But when they met him they learned that the famous goal was just a fluke.,"17,213,110,262",17,A
85,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"308,0,137,159",0,B
86,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"288,98,235,1",1,D
87,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"175,295,2,95",2,C
88,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"122,221,3,312",3,C
89,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"4,302,134,313",4,A
90,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"101,179,95,6",6,D
91,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"282,50,71,7",7,D
92,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"280,296,52,8",8,D
93,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"9,251,184,245",9,A
94,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"10,157,31,25",10,A
95,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"38,205,290,11",11,D
96,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"261,222,320,12",12,D
97,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"222,13,320,20",13,B
98,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"14,162,152,144",14,A
99,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"174,281,254,15",15,D
100,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"257,83,16,125",16,C
101,Mary often boasted of her rose garden to be the best garden in the city. But in reality it is nothing but ordinary.,"17,195,201,229",17,A
102,Don’t judge people based on appearances alone; appearances can be deceptive.,"330,259,0,254",0,C
103,Don’t judge people based on appearances alone; appearances can be deceptive.,"18,24,63,1",1,D
104,Don’t judge people based on appearances alone; appearances can be deceptive.,"249,137,2,219",2,C
105,Don’t judge people based on appearances alone; appearances can be deceptive.,"53,144,3,236",3,C
106,Don’t judge people based on appearances alone; appearances can be deceptive.,"4,308,89,291",4,A
107,Don’t judge people based on appearances alone; appearances can be deceptive.,"5,98,144,128",5,A
108,Don’t judge people based on appearances alone; appearances can be deceptive.,"81,7,93,237",7,B
109,Don’t judge people based on appearances alone; appearances can be deceptive.,"221,53,226,8",8,D
110,Don’t judge people based on appearances alone; appearances can be deceptive.,"190,35,71,9",9,D
111,Don’t judge people based on appearances alone; appearances can be deceptive.,"10,328,205,123",10,A
112,Don’t judge people based on appearances alone; appearances can be deceptive.,"47,11,25,243",11,B
113,Don’t judge people based on appearances alone; appearances can be deceptive.,"238,251,12,134",12,C
114,Don’t judge people based on appearances alone; appearances can be deceptive.,"81,90,39,13",13,D
115,Don’t judge people based on appearances alone; appearances can be deceptive.,"240,101,287,14",14,D
116,Don’t judge people based on appearances alone; appearances can be deceptive.,"15,246,100,88",15,A
117,Don’t judge people based on appearances alone; appearances can be deceptive.,"331,16,130,270",16,B
118,Don’t judge people based on appearances alone; appearances can be deceptive.,"19,17,227,28",17,B
119,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","307,0,54,33",0,B
120,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","212,1,112,109",1,B
121,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","2,267,28,302",2,A
122,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","3,261,202,30",3,A
123,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","4,282,30,295",4,A
124,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","5,338,263,97",5,A
125,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","6,216,86,123",6,A
126,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","194,50,8,271",8,C
127,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","167,124,182,9",9,D
128,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","10,222,322,129",10,A
129,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","204,294,11,205",11,C
130,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","111,12,200,194",12,B
131,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","194,13,219,227",13,B
132,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","58,209,14,19",14,C
133,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","83,15,143,274",15,B
134,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","239,44,27,16",16,D
135,"Don't let his clothes fool you. He may dress himself in simple clothes without logos, but he is actually a millionaire.","245,98,17,216",17,C
136,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","223,129,0,131",0,C
137,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","104,42,293,1",1,D
138,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","175,2,28,263",2,B
139,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","3,27,227,181",3,A
140,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","164,289,4,32",4,C
141,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","213,5,266,131",5,B
142,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","228,117,249,6",6,D
143,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","182,7,235,25",7,B
144,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","9,64,277,38",9,A
145,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","10,69,325,70",10,A
146,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","260,303,11,157",11,C
147,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","12,177,96,81",12,A
148,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","136,307,13,85",13,C
149,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","28,14,332,113",14,B
150,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","15,73,157,66",15,A
151,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","277,16,236,148",16,B
152,"Although Lexi looks like an airhead, she is one of the wisest people I have ever met.","339,180,233,17",17,D
153,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","283,0,269,288",0,B
154,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","65,90,1,167",1,C
155,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","2,65,172,162",2,A
156,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","123,251,3,318",3,C
157,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","268,85,4,164",4,C
158,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","5,116,185,113",5,A
159,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","43,136,6,157",6,C
160,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","204,213,7,179",7,C
161,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","336,240,244,8",8,D
162,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","189,10,69,234",10,B
163,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","11,0,179,56",11,A
164,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","75,165,251,12",12,D
165,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","153,54,13,197",13,C
166,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","184,14,237,93",14,B
167,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","15,246,224,273",15,A
168,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","25,166,160,16",16,D
169,"Claire always thought that Max was unkind and rude because of his edgy fashion sense. But once she learned how kind and sensitive he was, she was surprised.","41,139,229,17",17,D
170,"Jake might look confused all the time, but he's really extremely bright.","29,241,160,0",0,D
171,"Jake might look confused all the time, but he's really extremely bright.","323,189,192,1",1,D
172,"Jake might look confused all the time, but he's really extremely bright.","107,253,325,2",2,D
173,"Jake might look confused all the time, but he's really extremely bright.","338,3,296,221",3,B
174,"Jake might look confused all the time, but he's really extremely bright.","290,122,207,4",4,D
175,"Jake might look confused all the time, but he's really extremely bright.","153,5,230,271",5,B
176,"Jake might look confused all the time, but he's really extremely bright.","212,72,6,144",6,C
177,"Jake might look confused all the time, but he's really extremely bright.","43,7,54,335",7,B
178,"Jake might look confused all the time, but he's really extremely bright.","8,238,338,304",8,A
179,"Jake might look confused all the time, but he's really extremely bright.","217,41,220,9",9,D
180,"Jake might look confused all the time, but he's really extremely bright.","11,72,137,277",11,A
181,"Jake might look confused all the time, but he's really extremely bright.","78,321,12,194",12,C
182,"Jake might look confused all the time, but he's really extremely bright.","214,129,217,13",13,D
183,"Jake might look confused all the time, but he's really extremely bright.","325,206,14,102",14,C
184,"Jake might look confused all the time, but he's really extremely bright.","276,216,15,269",15,C
185,"Jake might look confused all the time, but he's really extremely bright.","233,231,16,193",16,C
186,"Jake might look confused all the time, but he's really extremely bright.","17,31,303,240",17,A
187,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","82,0,90,34",0,B
188,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","198,114,1,213",1,C
189,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","229,211,2,242",2,C
190,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","178,110,214,3",3,D
191,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","4,117,184,189",4,A
192,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","180,156,5,230",5,C
193,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","293,6,31,115",6,B
194,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","321,7,178,205",7,B
195,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","71,8,303,197",8,B
196,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","186,125,9,271",9,C
197,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","119,10,336,48",10,B
198,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","288,231,215,12",12,D
199,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","104,13,102,137",13,B
200,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","14,81,123,335",14,A
201,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","301,222,79,15",15,D
202,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","138,144,16,195",16,C
203,"Don't trust everything on the social media. It appears that people are having the best time of their lives, but remember, it can be fake.","197,19,17,199",17,C
204,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","113,234,0,109",0,C
205,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","170,1,299,285",1,B
206,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","292,247,186,2",2,D
207,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","312,192,236,3",3,D
208,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","309,61,18,4",4,D
209,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","103,5,138,129",5,B
210,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","180,279,117,6",6,D
211,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","59,286,146,7",7,D
212,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","8,132,98,247",8,A
213,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","9,164,19,132",9,A
214,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","118,234,10,288",10,C
215,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","76,21,79,11",11,D
216,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","13,239,305,81",13,A
217,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","48,307,14,278",14,C
218,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","80,87,239,15",15,D
219,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","296,62,16,324",16,C
220,"Sometimes I feel I should have gone for my master’s degree like you instead of this job. Well, the grass is always greener on the other side.","276,43,17,327",17,C
221,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"148,124,111,0",0,D
222,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"1,266,215,64",1,A
223,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"97,18,2,295",2,C
224,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"3,68,140,217",3,A
225,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"33,253,4,217",4,C
226,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"67,258,5,18",5,C
227,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"6,138,99,188",6,A
228,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"213,7,289,20",7,B
229,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"313,145,8,317",8,C
230,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"145,151,69,9",9,D
231,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"187,284,10,275",10,C
232,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"11,321,102,20",11,A
233,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"12,215,276,88",12,A
234,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"248,102,14,308",14,C
235,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"196,15,151,18",15,B
236,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"16,136,226,269",16,A
237,The lawyer left his profession to become an MBA graduate thinking it was better. Guess what? He is still struggling to find a job.,"17,275,110,162",17,A
238,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"201,114,262,0",0,D
239,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"173,1,196,170",1,B
240,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"264,233,70,2",2,D
241,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"126,191,3,266",3,C
242,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"111,4,172,129",4,B
243,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"137,134,5,53",5,C
244,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"320,6,192,125",6,B
245,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"7,326,102,173",7,A
246,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"126,8,293,184",8,B
247,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"284,9,207,133",9,B
248,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"10,288,86,277",10,A
249,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"318,283,11,276",11,C
250,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"12,200,192,179",12,A
251,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"183,252,67,13",13,D
252,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"148,134,15,26",15,C
253,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"159,16,110,176",16,B
254,John is rich and everyone is envious of his wealth. But he is also lonely as he has no one to share his life with.,"126,17,218,101",17,B
255,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"69,312,0,88",0,C
256,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"327,133,1,208",1,C
257,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"300,220,2,223",2,C
258,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"309,3,76,303",3,B
259,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"326,195,264,4",4,D
260,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"5,151,270,222",5,A
261,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"6,314,218,213",6,A
262,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"294,7,120,19",7,B
263,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"169,173,8,104",8,C
264,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"129,9,101,230",9,B
265,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"241,71,286,10",10,D
266,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"257,300,246,11",11,D
267,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"12,299,139,265",12,A
268,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"13,34,160,155",13,A
269,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"139,14,174,318",14,B
270,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"151,16,53,245",16,B
271,It looks like fun but it is actually a struggle to move to a different country. You should count your blessings.,"257,17,185,29",17,B
272,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","188,133,214,0",0,D
273,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","89,291,114,1",1,D
274,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","281,186,2,212",2,C
275,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","3,43,41,188",3,A
276,"The life of a celebrity looks like they have it all, but in fact they have more problems than anyone can possibly imagine.","90,4,315,144",4,B
